ticker,cusip,oftic,cname,statpers,measure,fiscalp,fpi,estflag,curcode,numest,numup,numdown,medest,meanest,stdev,highest,lowest,usfirm,fpedats
0,87482X10,TLMR,TALMER BANCORP INC,2014-04-17,EPS,QTR,6,P,USD,4,0,4,0.07,0.08,0.01,0.1,0.07,1,2014-03-31
0,87482X10,TLMR,TALMER BANCORP INC,2014-05-15,EPS,QTR,6,P,USD,5,3,0,0.13,0.13,0.01,0.15,0.12,1,2014-06-30
0,87482X10,TLMR,TALMER BANCORP INC,2014-06-19,EPS,QTR,6,P,USD,5,0,0,0.13,0.13,0.01,0.15,0.12,1,2014-06-30
0,87482X10,TLMR,TALMER BANCORP INC,2014-07-17,EPS,QTR,6,P,USD,5,0,0,0.13,0.13,0.01,0.15,0.12,1,2014-06-30
0,87482X10,TLMR,TALMER BANCORP INC,2014-04-17,EPS,QTR,7,P,USD,5,0,0,0.11,0.12,0.02,0.15,0.1,1,2014-06-30
0,87482X10,TLMR,TALMER BANCORP INC,2014-08-14,EPS,QTR,6,P,USD,5,4,0,0.26,0.25,0.05,0.29,0.17,1,2014-09-30
0,87482X10,TLMR,TALMER BANCORP INC,2014-09-18,EPS,QTR,6,P,USD,5,0,1,0.25,0.23,0.06,0.29,0.17,1,2014-09-30
0,87482X10,TLMR,TALMER BANCORP INC,2014-10-16,EPS,QTR,6,P,USD,5,0,0,0.25,0.23,0.06,0.29,0.17,1,2014-09-30
0,87482X10,TLMR,TALMER BANCORP INC,2014-05-15,EPS,QTR,7,P,USD,5,2,0,0.15,0.17,0.05,0.26,0.15,1,2014-09-30
0,87482X10,TLMR,TALMER BANCORP INC,2014-06-19,EPS,QTR,7,P,USD,5,1,0,0.15,0.18,0.05,0.26,0.15,1,2014-09-30
